"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"BΛ Abdi","939411527",15300000,9900000,-5400000,-35.3
"TorinWoodle","276129715",15060000,12220000,-2840000,-18.9
"DarthLuk","151988573",14700000,14235000,-465000,-3.2
"Saturate","249471262",14700000,14700000,0,0
"OttiJR","113611225",13800000,6300000,-7500000,-54.3
"Julian","797155666",13800000,13800000,0,0
"wega666","741954133",13793500,7775000,-6018500,-43.6
"PaRa","324572396",13173000,12600000,-573000,-4.3
"Lazarus","874269143",13065500,13305000,239500,1.8
"DarthJedi117","915543352",12900000,9450000,-3450000,-26.7
"Pepir","668878954",12600000,12390000,-210000,-1.7
"Lasy","521595934",12300000,11100000,-1200000,-9.8
"Rooney","282684222",12293000,12300000,7000,0.1
"BΛ Anderle","595695953",12252000,12230000,-22000,-0.2
"Harry Soloo","578242431",12000000,11820000,-180000,-1.5
"Lameth","924996826",12000000,12000000,0,0
"Holly","374962465",11971000,10215000,-1756000,-14.7
"ƑƎ Choparinį","716141195",11662000,12000000,338000,2.9
"Gustl314","415291567",11400000,6790000,-4610000,-40.4
"BΛDarth Olliwahn","888284628",11400000,8925000,-2475000,-21.7
"Namuron","741729992",11260500,8940000,-2320500,-20.6
"Tim","714876991",11100000,10567500,-532500,-4.8
"Davie2012","732448493",10800000,9900000,-900000,-8.3
"DTDini","996625266",10779500,5625000,-5154500,-47.8
"Ainz","671615837",10723000,10500000,-223000,-2.1
"BΛ Egge","325551912",10706500,8782500,-1924000,-18
"B0ba F3tt","877173821",9850500,9390000,-460500,-4.7
"Stevie194","252142152",9739000,8700000,-1039000,-10.7
"Ḅ","436378167",8690000,8762500,72500,0.8
"RogueOne","256234237",8190000,6450000,-1740000,-21.2
"Sunve","681923264",8180000,8550000,370000,4.5
"Fuxxy","862196748",8123000,7552500,-570500,-7
"Mellman","647672384",8045000,5565000,-2480000,-30.8
"Nightfighter","721215257",7773500,5520000,-2253500,-29
"Bombe135","661367153",7710500,4650000,-3060500,-39.7
"Prometheus","287417965",7444000,2677500,-4766500,-64
"Sel Fie","611739423",7350000,3750000,-3600000,-49
"DarthLL","737262568",7132500,,,
"BΛ Mara","996663718",6783500,0,-6783500,-100
"Murmeli","332212225",6742000,4472500,-2269500,-33.7
"Butterblume","966929178",6731000,8700000,1969000,29.3
"Okul Kelbo Shark","593496448",6703500,,,
"BΛ Estios Belano","238696356",6567000,4892500,-1674500,-25.5
"Gaudiguy","231241421",6179000,5497500,-681500,-11
"Albipwnr","919866355",5846500,4650000,-1196500,-20.5
"Aig","886235445",5633500,3138750,-2494750,-44.3
"Aga Knaack","911151268",5542000,3340000,-2202000,-39.7
"Vargur","653774334",5124000,4200000,-924000,-18
"Black Bird","853184111",5089000,3135000,-1954000,-38.4
"Chilla","786318765",4728500,3362500,-1366000,-28.9
